model,context,batch,HBM_GPU,M3D_GPU,M3D_NMP_UNIFORM,M3D_NMP_CPA
Llama-3.1-8B,LC20K,1,85.0,81.18876370003602,62.504890719787795,60.79326769503945
Llama-3.1-8B,LC20K,8,85.0,82.45716342123728,69.2586883464466,70.51417424229146
Llama-3.1-8B,LC64K,1,85.0,81.82085569755321,64.85036122683351,63.210455352625274
Llama-3.1-8B,LC64K,8,85.0,83.23336565282136,71.53679092526596,71.43578822299162
Llama-3.1-8B,LC126K,1,85.0,82.32162335415438,67.41185789736454,65.56645692951679
Llama-3.1-8B,LC126K,8,85.0,83.50259014639119,73.97939042107862,74.1025568582914
Llama-3.1-70B,LC20K,1,85.0,82.67508187527432,66.31336503782,64.43640331220433
Llama-3.1-70B,LC20K,8,85.0,82.65062936727003,73.69012009231426,74.34452018887862
Llama-3.1-70B,LC64K,1,85.0,82.67682870554876,67.64788422349426,65.77267653661892
Llama-3.1-70B,LC64K,8,85.0,82.68335361515227,74.98163991952566,74.73483781415365
Llama-3.1-70B,LC126K,1,85.0,82.69816934624191,68.55763757036681,66.63203130414917
Llama-3.1-70B,LC126K,8,85.0,82.70458557756916,75.12978254918568,74.91223289948266
Llama-3.1-405B,LC20K,1,85.0,83.68199277933314,74.57969203391855,71.93561484055533
Llama-3.1-405B,LC20K,8,85.0,83.37976034793616,81.03255609287208,81.40990520825778
Llama-3.1-405B,LC64K,1,85.0,83.59762685316326,74.98804678407612,71.98285410344243
Llama-3.1-405B,LC64K,8,85.0,82.90940719423423,81.01624342938015,80.02543567761529
Llama-3.1-405B,LC126K,1,85.0,83.48275636803669,74.3266329785942,71.38615155243156
Llama-3.1-405B,LC126K,8,85.0,82.46364823894913,79.04406970845594,78.25550956864873
